ID,SEX,AGE,RACE,MARITAL,SIBS,CHILDS,HOMPOP,ADULTS,BABIES,EDUC,MAEDUC,PAEDUC,SPEDUC,RINCOME,INCOME,WRKSTAT,YEARSJOB,WRKGOVT,WRKSLF,SPWRKSTA,SATJOB1,HEALTH,HAPPY,VOTE12,VOTE16,PRES12,PRES16,OWNGUN,HELL,HEAVEN,ODDS1,ODDS2
1026,1,58,1,3,6,4,1,1,0,14,12,8,97,12,12,1,2,2,2,0,1,0,1,1,1,2,2,0,0,0,0,0
1027,1,55,1,2,4,2,2,2,0,12,12,8,97,12,13,1,30,2,2,0,2,3,2,1,1,2,2,1,2,2,2,1
1028,1,86,1,2,2,3,1,1,0,16,12,98,97,0,12,5,-1,2,2,0,0,2,3,1,1,2,1,2,0,0,0,0
1029,1,54,1,5,6,0,2,2,0,12,12,8,97,12,12,1,10,2,2,0,1,1,2,1,1,2,2,3,4,4,2,2
1030,2,44,1,3,1,0,1,1,0,16,12,12,97,12,12,1,11,2,2,0,2,0,2,1,1,2,2,0,1,1,2,1
1031,1,55,1,5,5,1,3,2,9,12,12,12,97,12,13,1,38,2,2,0,1,1,1,1,1,1,2,1,4,2,2,1
1032,2,58,1,2,5,2,2,2,0,14,9,14,97,0,11,7,-1,2,2,0,0,2,2,1,1,1,1,2,0,0,0,0
1033,1,54,1,3,6,1,1,1,0,15,18,97,97,12,12,1,18,1,2,0,3,2,2,1,1,2,2,2,0,0,0,0
1034,2,31,1,4,10,2,3,1,1,16,11,97,97,12,12,2,0.25,2,1,0,1,3,3,2,2,0,0,1,0,0,0,0
1035,1,51,1,5,1,0,2,2,0,15,12,12,97,2,9,1,0.75,2,2,0,1,2,2,2,2,0,0,2,1,1,1,1
1036,1,39,1,5,2,2,2,2,0,10,12,12,97,12,12,1,6,2,2,0,1,0,1,2,2,0,0,0,1,1,2,1
1037,2,86,1,2,5,3,1,1,0,12,0,0,97,0,12,5,-1,2,2,0,0,3,2,1,1,1,2,2,0,0,0,0
1038,1,54,1,3,2,2,1,1,0,16,12,11,97,12,12,1,13,2,2,0,1,0,2,1,1,1,2,0,0,0,0,0
1039,1,26,2,5,6,4,4,3,1,12,12,97,97,0,98,7,-1,0,0,0,0,3,3,2,2,0,0,2,1,1,2,2
1040,2,37,1,1,1,2,4,2,1,18,17,97,17,12,12,1,12,2,2,1,1,2,1,1,2,1,0,1,2,2,2,1
1041,1,45,1,3,2,3,1,1,0,16,14,14,97,13,13,1,5,2,2,0,2,3,3,2,2,0,0,1,0,0,0,0
1042,2,70,2,1,4,3,2,2,0,14,2,8,16,0,12,5,-1,2,2,5,0,2,1,1,1,1,1,2,1,1,2,1
1043,1,43,3,1,2,2,5,3,0,20,15,20,20,12,12,1,15,2,2,1,1,1,2,3,1,0,1,2,3,3,2,2
1044,1,23,1,5,0,0,2,2,0,14,16,16,97,11,11,1,2,8,1,0,1,0,1,3,2,0,0,0,3,2,2,1
1045,2,42,3,5,4,3,3,1,0,17,14,11,97,12,12,2,2,2,2,0,2,2,2,1,1,1,1,2,2,2,2,2
1046,2,86,1,2,1,6,1,1,0,14,12,3,97,0,11,5,-1,2,2,0,0,2,2,1,1,1,1,2,1,1,2,8
1047,2,72,1,4,2,2,1,1,0,12,6,6,97,0,12,5,-1,2,2,0,0,2,2,1,1,2,2,1,0,0,0,0
1048,2,55,1,3,0,1,1,1,0,18,18,97,97,1,12,4,-1,2,2,0,0,2,2,2,2,0,0,2,0,0,0,0
1049,1,69,2,2,7,0,1,1,0,11,3,0,97,0,9,5,-1,2,2,0,0,3,2,1,1,1,1,2,0,0,0,0
1050,2,89,2,2,6,0,1,1,0,6,97,98,97,0,98,5,-1,2,2,0,0,0,1,1,1,1,1,0,1,1,8,8
1051,1,68,2,4,13,8,1,1,0,10,8,2,97,0,9,5,-1,2,2,0,0,3,2,1,1,1,1,1,1,1,2,1
1052,2,45,1,5,4,0,1,1,0,12,12,12,97,12,12,2,20,2,1,0,2,0,1,1,1,2,2,0,0,0,0,0
1053,2,18,1,5,3,0,3,2,0,12,12,97,97,13,11,4,-1,9,9,0,0,2,2,3,3,0,0,2,1,1,2,2
1054,1,22,1,5,6,0,2,2,0,13,16,18,97,9,9,1,1,2,2,0,2,0,2,3,1,0,1,0,2,2,2,1
1055,2,66,1,1,2,2,2,2,0,12,12,97,10,0,12,5,-1,1,2,5,0,2,2,2,2,0,0,1,0,0,0,0
1056,1,66,1,3,6,3,1,1,0,13,6,12,97,0,9,5,-1,8,1,0,0,4,3,2,2,0,0,2,2,1,1,1
1057,1,21,1,5,0,0,2,2,0,9,12,97,97,9,12,1,1,2,2,0,1,2,1,3,2,0,0,2,0,0,0,0
1058,1,65,1,1,0,4,3,3,0,12,8,8,12,12,12,1,3,2,2,7,1,0,2,1,1,2,2,0,0,0,0,0
1059,1,29,1,1,2,0,3,3,0,13,16,13,12,0,11,2,0.25,2,2,1,2,2,2,1,1,2,3,1,3,1,2,1
1060,2,50,1,1,4,4,2,2,0,13,12,8,12,3,12,2,15,8,1,1,1,0,1,1,1,1,1,0,1,1,2,1
1061,1,65,1,3,1,0,1,1,0,12,12,8,97,9,12,2,13,2,2,0,2,2,2,1,1,2,2,2,1,1,2,1
1062,1,53,1,3,3,1,1,1,0,11,98,97,97,1,6,2,25,2,1,0,3,3,3,2,1,0,1,1,0,0,0,0
1063,2,32,1,1,3,3,5,2,2,14,11,97,14,0,12,7,-1,2,2,1,0,1,1,1,1,1,2,1,1,1,2,1
1064,2,47,1,3,2,2,2,2,0,12,15,13,97,12,12,1,3,2,2,0,1,0,1,1,1,2,2,0,2,1,2,2
1065,1,58,3,1,4,7,4,3,0,12,98,2,98,11,11,1,2,2,2,1,1,3,1,2,2,0,0,2,2,2,2,1
1066,2,44,1,3,2,6,4,2,1,15,11,98,97,12,12,1,6,2,2,0,1,3,2,1,1,2,2,2,0,0,0,0
1067,1,50,1,3,3,1,1,1,0,11,12,12,97,0,7,8,-1,2,2,0,0,0,3,2,2,0,0,0,3,2,2,2
1068,1,51,1,3,0,2,1,1,0,15,20,97,97,12,12,1,2,2,2,0,2,1,3,1,2,1,0,1,0,0,0,0
1069,2,53,3,2,4,3,1,1,0,13,12,8,97,12,12,1,3,2,2,0,2,2,2,1,1,2,2,1,1,1,1,1
1070,2,44,2,5,5,5,3,3,0,14,12,12,97,9,12,1,1,2,2,0,1,2,3,1,1,1,1,2,0,0,0,0
1071,1,40,1,5,1,1,5,4,0,13,9,12,97,0,12,4,-1,2,2,0,0,0,2,1,1,2,2,0,1,1,2,1
1072,2,56,2,5,9,3,1,1,0,11,10,97,97,0,11,7,-1,2,2,0,0,0,2,1,2,1,0,0,0,0,0,0
1073,2,52,2,3,4,7,1,1,0,16,14,97,97,1,2,7,-1,2,2,0,0,0,2,1,1,1,1,0,2,2,1,1
1074,2,65,2,2,6,1,1,1,0,13,10,12,97,1,10,2,3,1,2,0,1,2,2,1,1,1,1,2,1,1,2,1
1075,2,37,1,1,4,4,6,2,1,14,12,16,12,12,12,1,1,2,2,1,2,2,2,2,2,0,0,2,0,0,0,0
1076,1,50,1,1,1,2,4,3,0,16,16,18,18,12,12,1,20,2,2,1,1,0,1,1,2,2,0,0,0,0,0,0
1077,2,27,1,3,3,0,2,2,0,15,14,16,97,10,10,3,99,2,2,0,9,0,2,3,3,0,0,0,2,1,2,2
1078,2,49,1,1,1,2,2,2,0,16,12,12,16,12,12,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,2,1
1079,1,41,1,5,7,2,1,1,0,8,14,13,97,0,1,1,0.25,2,2,0,2,1,2,1,2,1,0,2,0,0,0,0
1080,1,72,1,1,5,3,2,2,0,14,0,8,12,0,12,5,-1,1,2,5,0,2,3,1,1,1,1,1,1,1,1,1
1081,1,42,1,3,5,0,4,4,0,12,12,7,97,12,12,1,1,2,2,0,1,1,2,2,2,0,0,1,0,0,0,0
1082,1,24,1,5,2,0,1,1,0,13,16,97,97,12,12,1,1,2,2,0,2,2,2,2,1,0,3,2,3,3,2,2
1083,1,31,3,5,5,2,4,2,0,9,97,7,97,12,12,2,1,2,1,0,1,0,1,2,2,0,0,0,0,0,0,0
1084,2,33,1,1,5,4,6,3,0,13,11,12,13,12,12,1,5,2,2,1,1,1,2,2,2,0,0,2,0,0,0,0
1085,2,69,1,3,3,3,1,1,0,9,0,5,97,9,12,2,2,2,2,0,1,2,3,1,1,1,1,2,0,0,0,0
1086,2,46,1,3,0,3,1,1,0,16,16,97,97,12,12,1,0.25,2,2,0,1,0,2,1,1,1,2,0,0,0,0,0
1087,2,71,1,1,3,4,2,2,0,9,7,98,8,0,12,5,-1,2,2,5,0,2,1,1,1,9,9,1,1,1,8,1
1088,2,22,1,5,3,0,3,3,0,16,14,97,97,0,11,6,-1,0,0,0,0,2,2,3,1,0,2,1,0,0,0,0
1089,1,53,1,1,4,3,5,3,0,14,14,12,16,12,12,1,20,2,1,1,2,0,2,1,1,2,2,0,1,1,2,2
1090,1,30,1,1,0,0,2,2,0,16,14,17,16,12,12,1,0.75,1,2,2,2,0,1,2,2,0,0,0,0,0,0,0
1091,1,61,1,1,4,2,3,3,0,16,12,17,16,12,12,1,2,2,2,7,1,2,1,1,1,2,2,2,1,1,2,1
1092,1,39,3,1,1,2,4,2,0,18,5,5,15,12,12,1,12,2,2,2,1,2,2,2,2,0,0,2,0,0,0,0
1093,1,27,1,1,2,0,2,2,0,16,16,16,16,0,13,1,1,2,2,1,1,0,1,1,1,2,8,0,1,1,2,1
1094,1,71,1,3,2,2,2,2,0,16,12,18,97,0,12,5,-1,2,2,0,0,3,2,1,1,2,1,1,3,2,2,1
1095,2,60,1,1,2,0,2,2,0,12,12,14,14,12,13,1,7,2,2,1,1,2,1,1,1,2,2,2,0,0,0,0
1096,1,47,1,3,2,2,2,1,0,17,16,18,97,12,12,1,21,2,1,0,2,2,3,1,1,1,1,1,0,0,0,0
1097,1,33,1,1,4,0,2,2,0,14,12,16,16,12,12,1,4,2,2,1,2,2,2,1,1,1,1,2,0,0,0,0
1098,1,29,1,5,1,0,1,1,0,17,18,20,97,12,12,1,0.75,2,2,0,2,2,2,1,1,1,1,2,4,4,2,1
1099,2,60,2,3,4,0,1,1,0,13,12,14,97,12,12,1,5,2,2,0,1,2,2,1,1,1,1,1,2,2,2,8
1100,2,27,2,5,2,4,1,1,0,13,12,12,97,12,12,7,-1,2,2,0,0,3,2,2,2,0,0,2,0,0,0,0
1101,1,30,1,5,5,0,3,3,0,9,98,98,97,5,12,4,-1,2,2,0,0,3,3,2,2,0,0,2,1,2,2,1
1102,2,24,1,5,1,0,2,2,0,13,11,8,97,2,11,2,0.25,2,2,0,2,4,2,2,2,0,0,2,0,0,0,0
1103,1,57,1,5,2,0,1,1,0,12,98,98,97,13,13,1,98,2,1,0,1,0,2,8,1,0,9,0,0,0,0,0
1104,1,19,1,5,3,0,2,2,0,12,12,97,97,0,11,2,0.75,1,2,0,1,4,3,3,3,0,0,2,4,4,2,1
1105,1,55,1,5,7,0,1,1,0,11,98,98,97,12,12,1,1,2,2,0,3,3,2,2,2,0,0,2,0,0,0,0
1106,2,75,2,3,10,3,2,2,0,12,98,98,97,12,12,2,2,2,2,0,2,0,2,1,1,1,1,0,0,0,0,0
1107,1,50,2,1,6,1,2,2,0,13,12,98,12,12,12,1,27,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1
1108,1,70,1,1,3,3,2,2,0,17,11,6,12,11,12,1,14,2,2,7,2,2,2,1,1,1,2,1,0,0,0,0
1109,1,65,1,3,1,2,1,1,0,18,12,18,97,0,12,5,-1,2,2,0,0,2,2,1,1,1,1,1,2,2,2,1
1110,2,28,1,1,6,1,3,2,1,16,97,16,12,0,11,1,0.25,2,2,2,1,2,2,1,1,1,4,2,0,0,0,0
1111,2,57,1,1,7,5,4,4,0,12,13,12,11,12,12,1,5,2,2,1,2,2,2,1,1,1,1,1,4,4,2,1
1112,1,48,1,1,1,5,6,2,0,18,12,12,17,8,12,7,-1,2,2,1,0,0,2,1,1,2,2,0,0,0,0,0
1113,2,18,1,5,2,0,3,3,0,12,15,12,97,0,98,1,98,2,2,0,8,1,1,3,3,0,0,2,0,0,0,0
1114,1,27,1,1,2,0,2,2,0,15,16,20,16,9,12,1,0.75,2,2,1,2,0,2,1,1,1,2,0,1,1,2,1
1115,1,41,1,1,3,0,3,2,0,12,12,12,15,1,12,2,0.25,2,2,1,1,2,1,2,2,0,0,2,4,4,2,1
1116,2,69,1,5,2,0,1,1,0,18,12,16,97,0,13,5,-1,1,2,0,0,0,2,2,2,0,0,0,0,0,0,0
1117,2,32,2,5,10,1,2,2,0,15,12,97,97,11,12,3,4,2,2,0,2,2,2,1,1,1,3,1,1,1,2,1
1118,2,21,2,5,4,0,4,3,0,12,8,15,97,0,1,7,-1,0,0,0,0,0,1,3,3,0,0,0,1,1,1,1
1119,2,30,2,5,6,1,2,1,1,12,12,15,97,12,12,1,3,2,2,0,2,2,2,1,1,1,1,2,4,4,2,1
1120,2,66,1,3,3,6,1,1,0,12,12,10,97,0,9,5,-1,2,2,0,0,3,2,1,1,1,1,2,0,0,0,0
1121,2,59,3,3,1,2,1,1,0,15,12,12,97,6,12,1,0.25,2,1,0,1,0,2,1,3,1,0,0,0,0,0,0
1122,2,22,3,5,7,1,3,2,1,12,16,97,97,6,12,1,0.75,2,2,0,1,2,2,3,2,0,0,2,1,1,2,1
1123,1,31,1,5,7,0,1,1,0,16,12,97,97,12,12,1,1,2,2,0,2,2,2,1,1,1,1,2,4,4,2,2
1124,2,50,1,3,0,3,2,2,0,16,17,97,97,11,12,7,-1,2,2,0,0,0,3,2,2,0,0,0,0,0,0,0
1125,1,21,1,5,1,0,2,2,0,15,16,16,97,4,10,2,3,2,2,0,2,2,2,3,1,0,2,2,4,4,2,1
1126,1,29,1,1,2,0,2,2,0,16,16,97,16,12,12,2,2,2,2,3,1,3,1,1,1,1,1,2,0,0,0,0
1127,2,21,1,5,4,0,2,2,0,15,97,12,97,4,4,2,0.75,2,2,0,2,0,2,3,2,0,0,0,1,1,2,1
1128,2,21,3,5,3,0,3,3,0,15,12,18,97,3,12,6,-1,2,2,0,0,1,3,3,1,0,1,2,0,0,0,0
1129,1,25,1,5,3,0,2,2,0,17,14,18,97,0,11,2,0.25,2,2,0,1,0,2,1,1,1,1,0,0,0,0,0
1130,1,22,1,5,3,0,1,1,0,16,15,16,97,12,12,6,-1,2,2,0,0,2,2,3,1,0,2,1,2,2,1,1
1131,1,23,2,5,4,1,1,1,0,13,18,16,97,0,98,3,0.25,2,2,0,1,3,3,3,1,0,1,2,0,0,0,0
1132,1,21,1,5,1,0,4,4,0,14,18,17,97,0,13,6,-1,0,0,0,0,3,2,3,1,0,1,2,3,3,2,1
1133,1,21,1,5,2,0,2,2,0,15,16,20,97,2,9,4,-1,1,2,0,0,1,3,3,2,0,0,2,0,0,0,0
1134,1,55,1,1,1,2,4,3,0,16,12,12,16,13,13,1,3,2,2,1,2,0,2,1,1,1,2,0,0,0,0,0
1135,1,63,1,1,3,8,5,4,0,20,12,12,13,12,12,1,17,2,1,2,1,1,2,1,1,2,1,2,0,0,0,0
1136,2,86,1,2,4,1,1,1,0,12,98,98,97,0,12,5,-1,1,2,0,0,2,1,1,1,1,2,2,1,1,2,2
1137,1,40,1,1,2,4,4,2,0,8,13,98,13,12,12,1,3,2,2,1,1,2,1,2,1,0,2,1,0,0,0,0
1138,1,42,3,1,6,3,6,2,2,12,0,97,16,12,12,1,4,2,2,7,4,0,3,3,3,0,0,0,4,2,2,2
1139,2,64,1,4,8,2,2,2,0,12,10,98,97,0,11,5,-1,2,2,0,0,3,3,1,1,2,2,1,0,0,0,0
1140,2,72,1,3,3,3,1,1,0,20,12,16,97,13,12,5,-1,1,2,0,0,3,1,1,1,1,1,2,2,1,2,1
1141,1,84,1,1,0,2,2,2,0,16,12,8,12,2,12,5,-1,2,2,7,0,0,2,2,2,0,0,0,0,0,0,0
1142,2,30,2,5,5,2,1,1,0,14,14,16,97,12,12,1,4,2,2,0,1,0,1,1,2,1,0,0,1,1,1,1
1143,1,33,1,5,3,0,1,1,0,12,16,97,97,11,11,1,3,2,2,0,3,2,2,1,1,1,3,2,3,3,2,1
1144,1,76,1,2,1,2,1,1,0,14,10,12,97,0,12,5,-1,2,2,0,0,1,2,1,1,2,2,2,0,0,0,0
1145,1,28,3,5,1,0,1,1,0,19,14,16,97,12,12,1,2,2,2,0,2,0,2,3,3,0,0,0,0,0,0,0
1146,2,23,2,5,13,0,1,1,0,16,12,18,97,11,12,6,-1,2,2,0,0,1,1,3,2,0,0,2,0,0,0,0
1147,2,30,1,1,1,3,5,2,2,12,12,97,11,0,12,7,-1,2,2,1,0,0,2,2,1,0,1,0,1,1,2,2
1148,2,29,3,5,3,0,4,3,0,12,7,7,97,0,11,1,0.25,2,2,0,1,1,2,3,3,0,0,1,1,1,1,1
1149,1,23,1,3,9,0,3,3,0,11,12,97,97,10,98,2,0.25,2,2,0,2,3,2,3,2,0,0,2,0,0,0,0
1150,1,85,1,5,4,0,1,1,0,17,0,0,97,0,9,1,55,2,1,0,1,0,3,1,1,1,1,0,0,0,0,0
1151,1,58,3,1,7,0,4,4,0,9,3,98,12,12,12,4,-1,2,2,7,0,3,2,1,1,4,2,2,1,1,8,8
1152,1,86,1,2,2,1,2,2,0,13,12,12,97,0,12,5,-1,1,1,0,0,3,3,1,2,1,0,1,0,0,0,0
1153,1,82,1,1,2,6,3,3,0,17,12,13,17,1,12,5,-1,1,2,5,0,0,1,1,1,2,2,0,1,1,1,2
1154,1,50,2,1,5,8,3,3,0,12,12,12,12,11,11,1,5,2,2,1,1,3,1,1,1,1,1,2,1,1,2,1
1155,1,55,2,5,3,1,1,1,0,13,16,13,97,12,12,1,32,2,2,0,2,0,2,1,1,1,1,0,0,0,0,0
1156,2,41,3,3,11,3,2,2,0,16,4,3,97,12,12,1,13,2,1,0,2,2,1,1,1,1,1,1,3,1,2,1
1157,1,22,3,5,4,0,1,1,0,14,0,13,97,10,12,2,0.75,2,2,0,2,1,2,3,1,0,1,2,0,0,0,0
1158,1,28,1,1,8,3,2,2,0,14,5,8,12,12,12,1,2,2,2,2,1,0,1,1,1,2,2,0,1,1,2,1
1159,2,87,2,3,1,5,1,1,0,12,12,8,97,0,12,5,-1,2,2,0,0,3,2,1,1,1,1,2,1,1,1,1
1160,1,64,3,1,5,3,2,2,0,16,16,13,15,12,12,1,13,1,2,7,1,0,2,1,1,2,2,0,2,2,2,1
1161,2,18,1,5,1,0,4,4,0,11,13,16,97,0,13,6,-1,0,0,0,0,1,2,3,3,0,0,1,1,1,2,1
1162,2,73,1,1,3,1,2,2,0,12,12,12,17,0,13,5,-1,2,2,5,0,0,2,1,1,1,1,0,4,1,2,1
1163,2,68,1,1,2,0,2,2,0,13,12,12,16,0,13,5,-1,2,2,5,0,0,1,1,1,1,1,0,0,0,0,0
1164,2,51,1,1,2,3,3,3,0,20,14,14,14,13,13,1,20,1,2,7,1,2,1,1,1,2,2,1,1,1,2,1
1165,1,67,1,1,3,2,2,2,0,16,12,97,12,12,12,1,35,8,1,7,1,2,1,1,1,2,2,2,0,0,0,0
1166,1,81,1,2,5,5,3,3,0,16,8,97,97,0,13,5,-1,2,1,0,0,0,1,1,1,1,1,0,4,4,2,1
1167,1,70,1,3,6,4,4,4,0,16,13,12,97,0,13,5,-1,2,2,0,0,2,2,1,1,2,2,1,2,2,2,1
1168,1,63,1,1,3,1,2,2,0,12,12,12,12,0,12,5,-1,2,2,7,0,0,1,1,1,1,2,0,0,0,0,0
1169,2,71,1,1,0,3,2,2,0,12,8,10,20,0,12,5,-1,2,2,2,0,3,2,1,1,2,2,2,0,0,0,0
1170,1,34,1,1,4,2,4,2,2,16,12,12,19,12,13,1,10,2,2,1,2,2,1,2,2,0,0,1,1,1,2,1
1171,1,86,1,2,0,3,1,1,0,16,12,12,97,12,12,2,43,2,2,0,1,2,1,1,1,2,2,2,2,2,2,1
1172,2,39,1,5,4,0,1,1,0,12,12,97,97,12,12,1,0.25,2,2,0,2,0,3,1,2,1,0,0,2,2,2,1
1173,1,47,1,3,4,1,2,2,0,12,97,98,97,1,12,4,-1,2,2,0,0,4,3,2,2,0,0,2,1,1,2,1
1174,2,33,2,1,2,2,4,2,0,18,11,97,15,12,12,1,10,1,2,1,2,3,2,1,1,1,1,2,0,0,0,0
1175,1,31,3,2,98,0,2,2,0,16,97,97,97,12,12,1,2,2,2,0,2,0,2,2,1,0,1,0,0,0,0,0
1176,2,57,1,1,2,1,2,2,0,12,12,12,16,12,13,5,-1,2,1,1,0,2,2,1,1,2,4,2,2,1,2,1
1177,1,35,1,1,4,1,3,2,0,13,18,97,18,12,12,1,2,2,2,1,2,0,2,1,1,1,3,0,3,1,2,1
1178,2,65,1,2,3,2,2,2,0,12,12,12,97,0,12,5,-1,2,2,0,0,3,2,1,1,1,3,2,3,3,2,1
1179,1,69,1,5,3,0,1,1,0,12,12,98,97,0,12,5,-1,2,2,0,0,3,3,1,1,1,1,1,0,0,0,0
1180,2,59,2,3,5,2,1,1,0,12,12,97,97,0,3,4,-1,2,2,0,0,0,3,1,1,1,1,0,0,0,0,0
1181,1,35,1,1,6,2,2,2,0,13,12,97,16,12,12,1,2,2,2,3,2,2,2,1,1,1,1,2,0,0,0,0
1182,1,37,1,5,0,0,1,1,0,13,12,11,97,12,12,2,17,2,2,0,3,4,3,1,1,2,2,2,2,2,2,2
1183,2,51,1,1,4,2,4,4,0,12,14,15,14,12,13,1,8,2,2,1,1,2,2,1,1,2,2,1,0,0,0,0
1184,1,85,3,1,8,1,2,2,0,10,8,97,16,13,12,5,-1,2,1,5,0,0,3,1,1,1,1,0,0,0,0,0
1185,2,49,1,1,1,2,4,3,0,16,16,16,16,0,12,7,-1,2,2,1,0,1,1,1,2,2,0,2,2,1,2,1
1186,2,68,1,1,2,2,2,2,0,16,18,12,16,0,12,5,-1,2,2,2,0,2,2,1,1,1,1,2,0,0,0,0
1187,2,70,1,1,2,2,2,2,0,17,12,12,12,0,13,5,-1,2,2,5,0,0,2,1,1,2,2,0,0,0,0,0
1188,1,74,1,2,5,3,1,1,0,12,12,97,97,0,12,5,-1,2,2,0,0,4,2,1,1,1,1,1,0,0,0,0
1189,2,68,1,1,3,3,2,2,0,12,8,8,12,12,12,2,2,2,2,2,1,0,1,1,1,2,2,0,1,1,2,8
1190,2,46,1,1,5,2,4,2,0,16,12,16,13,12,12,1,16,2,2,1,2,2,2,1,1,2,2,1,1,1,2,1
1191,2,51,1,1,5,2,3,3,0,14,14,97,18,12,12,2,5,2,2,1,1,2,2,1,1,2,2,2,0,0,0,0
1192,1,66,1,3,1,2,2,2,0,12,12,12,97,0,12,5,-1,2,2,0,0,0,1,1,1,2,2,0,0,0,0,0
1193,1,43,1,5,0,1,2,2,0,14,12,97,97,13,13,1,17,2,1,0,1,2,2,2,1,0,2,2,3,3,2,1
1194,2,74,1,2,5,3,1,1,0,11,98,98,97,0,98,5,-1,2,2,0,0,4,2,2,1,0,1,2,0,0,0,0
1195,1,74,1,1,2,3,2,2,0,18,16,12,16,0,12,5,-1,2,2,2,0,0,2,1,1,2,2,0,0,0,0,0
1196,1,85,1,1,1,4,2,2,0,12,12,12,12,0,12,5,-1,1,2,5,0,3,1,1,1,2,2,1,0,0,0,0
1197,1,49,1,3,5,0,2,2,0,16,12,12,97,12,12,1,13,2,2,0,3,3,2,1,1,3,3,1,0,0,0,0
1198,2,46,1,1,2,2,3,3,0,12,3,98,12,13,13,7,-1,2,2,1,0,3,2,8,1,0,2,1,1,1,2,1
1199,2,37,1,1,2,4,2,2,0,17,12,16,16,0,12,7,-1,1,2,1,0,1,1,1,1,1,1,2,0,0,0,0
1200,2,41,1,4,1,6,1,1,0,11,11,98,97,7,10,1,0.75,2,2,0,1,3,3,2,1,0,9,2,1,1,2,2
1201,1,22,1,1,2,1,3,2,1,12,12,14,12,11,12,1,2,2,2,2,2,2,2,3,1,0,8,2,0,0,0,0
1202,2,43,1,1,2,1,3,2,0,16,12,20,12,7,12,1,0.75,2,2,1,2,0,2,3,3,0,0,0,0,0,0,0
1203,2,73,1,1,3,4,2,2,0,16,16,14,15,0,12,5,-1,1,2,5,0,1,1,1,1,2,3,1,0,0,0,0
1204,2,34,1,1,2,1,3,2,1,16,16,12,12,12,12,3,7,1,2,1,2,2,1,1,1,2,3,1,1,1,2,1
1205,1,87,1,2,6,3,1,1,0,14,98,98,97,0,9,5,-1,2,2,0,0,2,2,1,1,1,1,2,0,0,0,0
1206,2,32,1,5,1,0,2,2,0,18,13,16,97,4,12,4,-1,8,2,0,0,0,1,1,1,1,1,0,0,0,0,0
1207,2,31,1,3,5,1,3,2,0,14,9,9,97,0,12,1,0.25,2,2,0,2,2,1,3,3,0,0,2,0,0,0,0
1208,1,33,1,5,8,0,2,2,0,12,97,12,97,0,2,6,-1,2,2,0,0,0,3,2,2,0,0,0,8,8,2,1
1209,1,69,1,3,0,2,1,1,0,12,12,12,97,0,9,6,-1,2,2,0,0,3,2,2,2,0,0,1,1,1,2,1
1210,1,77,1,5,2,0,1,1,0,12,16,16,97,0,9,5,-1,2,2,0,0,2,2,1,1,2,2,2,0,0,0,0
1211,1,52,1,3,5,2,1,1,0,13,98,97,97,0,1,7,-1,1,2,0,0,2,2,2,2,0,0,2,1,1,2,1
1212,1,37,1,3,7,0,1,1,0,15,97,12,97,12,12,1,15,2,2,0,1,0,1,1,1,3,1,0,4,4,2,1
1213,1,52,1,5,2,0,1,1,0,12,12,97,97,12,12,1,5,2,2,0,1,3,2,1,1,2,1,2,4,4,2,1
1214,2,38,3,5,1,0,1,1,0,16,12,12,97,12,12,1,14,2,2,0,2,1,1,1,2,1,0,1,0,0,0,0
1215,1,55,3,3,2,4,2,2,0,11,17,98,97,3,3,2,2,2,2,0,2,4,2,2,2,0,0,2,0,0,0,0
1216,2,75,1,1,3,3,2,2,0,13,12,8,14,0,12,7,-1,1,2,5,0,0,2,1,1,1,1,0,2,2,2,1
1217,2,50,1,1,6,1,2,2,0,14,12,97,12,12,12,1,16,2,2,1,2,2,1,1,2,1,0,2,1,1,8,8
1218,2,25,1,5,8,1,3,2,1,12,12,11,97,0,12,1,0.25,1,2,0,2,1,2,2,1,0,1,2,0,0,0,0
1219,1,28,1,1,3,2,2,2,0,12,12,14,13,12,12,1,0.75,2,2,1,1,2,1,2,2,0,0,1,0,0,0,0
1220,1,76,1,3,3,3,1,1,0,16,12,14,97,0,5,5,-1,2,2,0,0,4,3,1,1,1,1,1,0,0,0,0
1221,1,52,1,1,4,6,3,2,9,16,14,13,14,13,13,1,30,2,1,6,1,1,1,1,1,2,3,1,1,1,2,1
1222,1,22,1,5,2,0,5,3,0,12,16,13,97,12,12,1,0.75,2,2,0,1,3,3,3,2,0,0,1,0,0,0,0
1223,1,57,1,2,1,1,2,2,0,11,12,8,97,12,12,1,0.75,2,1,0,1,0,1,1,1,1,1,0,4,1,2,1
1224,2,84,1,3,9,5,1,1,0,8,3,97,97,0,11,5,-1,1,2,0,0,0,2,8,1,0,2,0,1,1,8,8
1225,2,63,1,1,2,2,2,2,0,14,10,10,16,12,12,1,7,2,2,1,1,3,2,2,2,0,0,1,0,0,0,0
1226,2,58,2,2,7,3,1,1,0,20,20,97,97,12,12,1,8,1,2,0,1,0,2,1,1,1,1,0,1,1,2,1
1227,2,43,1,1,2,1,2,2,0,11,8,7,13,0,12,7,-1,2,2,1,0,3,1,3,2,0,0,1,0,0,0,0
1228,2,25,1,5,7,0,3,3,0,13,13,12,97,12,12,1,3,2,2,0,2,2,1,2,3,0,0,1,1,1,2,2
